word,word_lemma
efterfølgende,efterfølgende
besluttes,beslutte
stor,stor
del,del
ekstra,ekstra
reduktion,reduktion
realiseres,realisere
henholdsvis,henholdsvis
ets,ets
mængden,mængd
kvoter,kvote
fastsættelsen,fastsættels
forøgede,forøge
parat,parat
sin,sin
rimelige,rimelig
andel,andel
samtidig,samtidig
langsigtede,langsigte
uafhængig,uafhængig
fossile,fossile
brændsler,brændsle
olie,olie
kul,kul
naturgas,naturgas
efteråret,efterår
klimakommissionen,klimakommission
bud,bud
ske,ske
inden,inden
folketingsvalg,folketingsvalg
oplæg,oplæg
vision,vision
føres,føre
livet,liv
sammenfattes,sammenfatte
tvunget,tvinge
grundlag,grundlag
aftaler,aftale
indgår,indgå
ambitiøst,ambitiøs
nødvendigvis,nødvendigvis
medlem,medlem
køber,købe
rigtig,rigtig
præmissen,præmisse
præge,præge
siddet,sidde
bageste,bagest
række,række
bruge,bruge
billede,billede
ministerråd,ministerråd
simpelt,simpel
næh,næh
aktører,aktør
presset,pres
helst,helst
nye,ny
klimakommissær,klimakommissær
karakteriserer,karakterisere
uambitiøs,uambitiøs
fuldstændig,fuldstændig
fejl,fejl
tilbragt,tilbrage
forlænget,forlænge
weekend,weekend
new,new
delhi,delhi
beijing,beijing
åbenbart,åbenbart
energiminister,energiminist
klimakommissæren,klimakommissær
virke,virke
spidsen,spids
svare,svare
specifikt,specifikt
forhandling,forhandling
melde,melde
aktiv,aktiv
spiller,spille
serviceeftersyn,serviceeftersyn
aktive,aktiv
klima,klima
energi,energi
glad,glad
bidrage,bidrag
oplyst,oplyse
lykkedes,lykkes
connie,connie
hedegaard,hedegaard
kommentere,kommenter
modstykket,modstykke
klimahensyn,klimahensyn
arbejdspladser,arbejdsplads
snakkede,snakke
kommenteret,kommentere
fremlagt,fremlagt
følgende,følge
passer,passe
modstilling,modstilling
tværtimod,tværtimod
tabe,tabe
grønne,grøn
kapløb,kapløb
ambitiøse,ambitiøs
målsætninger,målsætninge
fastlagt,fastlægge
politikken,politikke
direkte,direkte
karakteriseret,karakterisere
uambitiøst,uambitiøs
stiller,stille
partierne,parti
folketinget,folketing
line,line
kamp,kamp
værdifællesskab,værdifællesskab
ærgrer,ærgr
såre,såre
bredt,brede
klimapolitikken,klimapolitikk
ked,ked
ole,ole
hækkerup,hækkerup
gentager,gentage
punkt,punkt
dernæst,dernæst
glædeligt,glædeligt
nej,nej
hedder,hedde
selen,seel
præcis,præcis
regerings,regering
gode,god
nyheder,nyhed
overbringe,overbringe
hjemkomsten,hjemkomst
anholde,anholde
modsætning,modsætning
arbejdspladshensynet,arbejdspladshensyne
muligheden,mulighed
vinde,vinde
føre,føre
højde,højde
tre,tre
beskæftigelsen,beskæftigelse
sektorer,sektore
klemme,klemme
anyway,anyway
yderligere,yderligere
hente,hente
pointen,point
sigt,sigt
ændret,ændre
sender,sende
landet,land
mellemøsten,mellemøst
investeret,investere
kloge,klog
hoveder,hoved
irrelevant,irrelevant
diskutere,diskutere
jævnfør,jævnfør
udtalelser,udtalelse
februar,februar
redegøre,redegøre
lyset,lys
venstres,venstre
energiordfører,energiordføre
forhenværende,forhenværende
finansminister,finansminister
formand,formand
gentagne,gentage
gange,gang
rejst,rejse
såvel,såvel
nævnt,nævn
besvarelse,besvarelse
passende,passende
aldeles,aldele
uklart,uklar
folketingets,folketing
partifælle,partifælle
tossegode,tossegode
forstået,forstå
forekommer,forekomme
repræsenterer,repræsentere
partiet,parti
sine,sin
partifæller,partifælle
tilhører,tilhøre
fløj,flyve
klimaskeptikere,klimaskeptiker
lars,lars
christian,christian
lilleholt,lilleholt
fald,fald
mudret,mudre
værste,slem
let,let
inddele,inddel
to,to
herovre,herovre
eksempler,eksempel
klimaskeptikerne,klimaskeptik
klimatilhængerne,klimatilhæng
lettere,let
grupper,gruppe
desværre,desværre
situationen,situation
anelse,anelse
kompliceret,komplicer
gentage,gentage
måtte,måtte
mene,mene
balancere,balancer
ting,ting
sørge,sørge
bid,bid
kagen,kag
job,job
skabes,skabe
område,område
sikker,sikker
bruger,bruge
unødige,unødig
mængder,mængde
afhængighed,afhængighed
love,love
uenige,uenig
interessant,interessant
oppositionen,opposition
signal,signal
forrest,forrest
klimaførertrøjen,klimaførertrøj
konklusionen,konklusion
opdele,opdel
klimatilhængere,klimatilhænger
gøres,gøre
problem,problem
sidste,sidste
gruppe,gruppe
svaret,svar
kreativ,kreativ
udlægning,udlægning
fremhæver,fremhæve
respektive,respektive
forudsætninger,forudsætninge
fair,fair
tidspunkt,tidspunkt
afhænger,afhænge
betingelser,betingelse
beslutning,beslutning
truffet,truffe
jeppe,jeppe
kofod,kofod
konkludere,konkludere
advarer,advare
sænke,sænke
sænkes,sænke
uenig,uenig
proaktiv,proaktiv
klimadagsorden,klimadagsord
klimaminister,klimaminist
ekspert,eksper
kritiseret,kritisere
tankevækkende,tankevækkende
bekræfte,bekræfte
forbløffende,forbløffende
fører,føre
minister,minist
ændring,ændring
ambitiøs,ambitiøs
absolut,absolut
tilhængere,tilhænger
modstandere,modstander
massivt,massivt
hænde,hænde
forhandlingsproces,forhandlingsproces
vælger,vælge
beslutningsforslaget,beslutningsforslage
enhedslisten,enhedslist
giver,give
anledning,anledning
forklare,forklare
vedrørende,vedrøre
biomasse,biomasse
energiforsyningen,energiforsyning
forslaget,forslag
b,b
nedsætter,nedsætte
arbejdsgruppe,arbejdsgruppe
afklare,afklar
reelle,reel
anvendelse,anvendelse
importeret,importere
sympatisk,sympatisk
idé,idé
herske,hersk
anvendelsen,anvendels
bæredygtige,bæredygtig
tilgang,tilgang
foreslået,foreslå
snart,snart
fremlægge,fremlægge
uafhængige,uafhængig
vind,vind
væsentlig,væsentlig
rolle,rolle
fremtidige,fremtidig
energisystem,energisystem
omfatte,omfatte
øge,øge
aktualiseres,aktualisere
behovet,behov
biomasseressourcer,biomasseressource
udnyttes,udnytte
effektivt,effektiv
globale,globale
biomasseforbrug,biomasseforbrug
solokurs,solokurs
internationale,international
fora,fora
vedtaget,vedtage
fælles,fælles
bæredygtig,bæredygtig
adressere,adresser
foregår,foregå
handel,handel
adskillige,adskillig
formodes,formode
importen,import
opmærksom,opmærksom
problemstillingen,problemstilling
overvåger,overvåg
udviklingen,udvikling
kommissionen,kommission
opfordrer,opfordre
knap,knap
år,år
rapport,rapport
krav,krav
bæredygtighed,bæredygtighed
energiformål,energiformål
rapporten,rapport
indeholder,indeholde
opgørelse,opgørelse
varmeproduktion,varmeproduktion
udgangen,udgang
vidt,vidt
forstår,forstå
opfølgende,opfølge
bæredygtighedskriterier,bæredygtighedskriterie
nødvendigt,nødvendig
forslag,forslag
kriterier,kriterie
opfordrede,opfordre
maj,maj
formulere,formuler
tværgående,tværgåe
biomassepolitik,biomassepolitik
fortsat,fortsat
etableres,etablere
anbefales,anbefale
vej,vej
følger,følge
kommissionens,kommissionen
indirekte,indirekte
arealmæssige,arealmæssig
forskydningseffekter,forskydningseffekte
iluc,iluc
engelske,engelsk
betegnelse,betegnelse
handler,handle
produktion,produktion
anvendes,anvende
biobrændstoffer,biobrændstoffe
flytte,flytte
traditionel,traditionel
fødevarer,fødevare
arealer,areal
uopdyrket,uopdyrke
land,land
medføre,medføre
øget,øge
udledning,udledning
drivhusgasser,drivhusgasse
såsom,såsom
metan,metan
behandle,behandle
beslutningsforslag,beslutningsforslag
moratorium,moratorium
december,december
offentliggjort,offentliggjort
foreløbig,foreløbig
problemer,problem
konsekvensvurderinger,konsekvensvurderinge
mulige,mulig
metoder,metode
håndtering,håndtering
problemstilling,problemstilling
nøje,nøje
opsummere,opsummere
ressourcer,ressource
effektive,effektive
produceres,producere
enhedslistens,enhedslist
oprette,oprette
vurdere,vurdere
import,import
træpiller,træpille
globalt,global
udgøre,udgøre
relativt,relativt
isolere,isoler
analysere,analyser
konsekvenserne,konsekvens
eksporterende,eksporterende
antagelser,antagelse
skæve,skæve
antager,antage
biomasseeksporten,biomasseeksport
påvirker,påvirke
landes,lande
udfase,udfase
energisammensætningen,energisammensætning
biomasseeksporterende,biomasseeksporterende
sverige,sverige
finland,finland
store,stor
biomasseproducenter,biomasseproducente
stort,stor
udvikle,udvikle
konsekvenser,konsekvens
større,stor
værdi,værdi
foretages,foretage
regi,regi
nedsat,nedsætte
skovpolitisk,skovpolitisk
udvalg,udvalg
drøfte,drøfte
konklusion,konklusion
relevant,relevant
kende,kende
energiproduktion,energiproduktion
støtte,støtte
konkrete,konkret
fremmest,fremmest
hensigtsmæssige,hensigtsmæssig
biomasses,biomasse
adresseres,adressere
fokus,fokus
klimaeffekten,klimaeffekt
opfattelse,opfattelse
fornuftigt,fornuftig
skarpt,skarpt
prioriterer,prioritere
indstiller,indstill
forkastes,forkaste
spørge,spørge
forstås,forstå
overblik,overblik
sker,ske
foregå,foregå
forlængelse,forlængelse
støtter,støtte
indstilling,indstilling
portugal,portugal
inddrage,inddrage
snakker,snakke
inddrager,inddrage
forskydningseffekten,forskydningseffekt
afgørende,afgørende
rejste,rejse
brug,brug
hindrer,hindre
stigning,stigning
produktionen,produktion
medfører,medføre
øgede,øge
højt,højt
kulstofindhold,kulstofindhold
tab,tab
biodiversitet,biodiversitet
velkendt,velkende
stand,stand
tale,tale
nødt,nødt
forholde,forholde
sætter,sætte
betyder,betyde
vel,vel
uafhængigt,uafhængig
brændstoffer,brændstoffe
diskuterer,diskutere
biomassens,biomass
placering,placering
styr,styr
hvert,hver
rimelig,rimelig
fordrejningsproblemerne,fordrejningsproblem
forbindelse,forbindelse
laver,lave
vigtig,vigtig
rimeligt,rimelig
erklære,erklær
målet,mål
metoden,metod
kongevejen,kongevej
europæiske,europæisk
union,union
forvejen,forvej
dagsordenen,dagsorden
afvente,afvene
forsøge,forsøge
alvor,alvor
sætte,sætte
foreslår,foreslå
kaste,kaste
lys,lys
optaget,optaget
importerer,importere
miljømæssigt,miljømæssigt
redegjort,redegjort
nationalt,national
heldigvis,heldigvis
udgivet,udgive
beskriver,beskrive
udfordringer,udfordring
presses,presse
sikre,sikre
importeres,importere
baggrund,baggrund
afviser,afvise
undersøgelse,undersøgelse
klimakommissionens,klimakommission
udspil,udspil
lagt,lægge
oppositionens,oppositionens
læser,læse
perspektiv,perspektiv
belyst,belyst
intention,intention
mening,mening
europæisk,europæisk
følge,følge
derudover,derudover
laves,lave
biomassen,biomass
brugt,bruge
tænkes,tænke
udbygningen,udbygning
vindkraft,vindkraft
vedvarende,vedvarende
energikilder,energikilde
hvilket,hvilken
smuk,smuk
anbefalinger,anbefaling
givet,give
national,national
umuligt,umulig
naturligt,naturligt
eksempelvis,eksempelvis
forhandlinger,forhandling
energiområdet,energiområd
socialdemokrater,socialdemokrat
meldingerne,meldinger
hidtil,hidtil
sikkert,sikkert
formål,formål
forbedre,forbedre
jorden,jord
klodens,klode
fornuft,fornuft
rationalitet,rationalite
tiltagene,tiltag
mistanke,mistank
venstrefløjen,venstrefløj
socialister,socialist
tænker,tænke
samfundet,samfund
fungere,fungere
undlade,undlade
nævne,nævne
relation,relation
minimal,minimal
indflydelse,indflydelse
betragter,betragte
markeringsforslag,markeringsforslag
erhvervslivet,erhvervsliv
lever,leve
pålagt,pålægge
afgifter,afgift
venstrefløjens,venstrefløjen
intentioner,intention
klimaproblematikker,klimaproblematikke
art,art
koste,ko
læssevis,læssevis
fru,frue
jensens,jensens
husholdning,husholdning
dyrere,dyr
højeste,høj
energiafgifter,energiafgifte
energitiltag,energitiltag
blot,blot
fane,fane
holdes,holde
hovedet,hoved
mister,miste
jordforbindelsen,jordforbindels
underordnet,underordn
proportionerne,proportion
taget,tage
drivgasudledning,drivgasudledning
totale,total
forsvinder,forsvinde
al,al
sund,sund
uheldige,uheldig
rød,rød
valg,valg
forberede,forbere
enormt,enormt
stigende,stige
varmepriser,varmeprise
gennemført,gennemføre
udfladning,udfladning
velfærdssamfund,velfærdssamfund
dårligere,dårliger
per,per
dalgaard,dalgaard
lov,lov
virksomheders,virksomhed
ruin,ruin
forslagene,forslag
gangen,gang
katastrofale,katastrofal
clausen,clausen
ret,ret
energistyrelsen,energistyrels
mangelvare,mangelvare
anvende,anvende
omkostningen,omkostning
elementer,element
producere,producer
efterspørgsel,efterspørgsel
forsøg,forsøg
både,både
økonomisk,økonomisk
afhængig,afhængige
dalgaards,dalgaards
angst,angst
bringe,bringe
afhængige,afhængig
betale,betale
overpris,overpris
produkt,produkt
fremtiden,fremtid
intentionen,intention
valgt,vælge
argumenter,argument
fremføre,fremføre
synspunkter,synspunkt
kendsgerning,kendsgerning
nedsætte,nedsætte
musik,musik
snævert,snævert
reelt,reelt
fortrænger,fortrænge
co2,co2
anvender,anvende
hurtig,hurtig
par,par
ideer,ide
kvalificeres,kvalificere
rådighed,rådighed
forbryder,forbryde
bæredygtighedskriterierne,bæredygtighedskriterierne
respekterer,respektere
planter,plant
bruges,bruge
dyrke,dyrke
materialer,materiale
erstatning,erstatning
plast,plast
baseret,basere
yderst,yderst
hjemlige,hjemlig
nogenlunde,nogenlunde
mangel,mangel
omtaler,omtale
selve,selve
biodiversiteten,biodiversitet
miljøhensynet,miljøhensyne
bestemt,bestemt
analyse,analyse
flertal,flertal
jobpotentialer,jobpotential
herhjemme,herhjemme
handles,handle
frit,frit
marked,marked
umiddelbart,umiddelbart
styre,styre
udenlandske,udenlandsk
belyse,belyse
forsvarligt,forsvarligt
rent,ren
behøver,behøve
stride,stride
opfordre,opfordre
positiv,positiv
kommissorium,kommissorium
bedre,god
biomasseressourcerne,biomasseressourc
mennesker,menneske
svært,svær
forstå,forstå
definition,definition
strengt,strengt
skaffer,skaffe
transportere,transporter
muligheder,mulighed
skov,skov
flerårige,flerårig
afgrøder,afgrøde
høste,høste
roder,rode
skader,skade
positive,positiv
arbejdes,arbejde
gengæld,gengæld
bredere,bred
genfremsættelse,genfremsættelse
nytilkommen,nytilkom
konservatives,konservative
brændstof,brændstof
ældste,ældste
grundlaget,grundlag
civilisation,civilisation
ilden,ild
homo,homo
sapiens,sapi
medlemmer,medlem
sidder,sidde
tønden,tønd
ubehagelig,ubehagelig
tanke,tanke
resultatet,resultat
køre,køre
teknologi,teknologi
mestrer,mestre
udnytte,udnytte
ifølge,ifølge
forbrug,forbrug
brænde,bræ
varme,varm
opgradere,opgradere
transportsektoren,transportsektor
sektor,sektor
teknologier,teknologie
sværest,sværest
form,form
flydende,flydende
metanol,metanol
ætanol,ætanol
overgangsfase,overgangsfase
el,el
lastudjævning,lastudjævning
vindenergien,vindenergi
elbilerne,elbil
biobrændsel,biobrændsel
nervøsiteten,nervøsitet
opstået,opstå
internationalt,international
skovfældning,skovfældning
fødevareproduktion,fødevareproduktion
dybest,dybest
menneskets,mennesk
solen,sol
atomkraft,atomkrife
konkurrence,konkurrence
skovdyrkning,skovdyrkning
fældet,fælde
typisk,typisk
sydamerika,sydamerika
haft,have
befolkningseksplosion,befolkningseksplosion
opgave,opgave
hos,hos
naboer,naboe
moralsk,moralsk
behøves,behøve
konflikt,konflikt
sagtens,sagtens
kombinere,kombinere
fornuftige,fornuftig
ender,ende
producerer,producere
træ,træ
overskydende,overskyde
affald,affald
papir,papir
ende,ende
tilslutte,tilslutte
hører,høre
bastante,bastane
afvisning,afvisning
viden,viden
rettidig,rettidig
omhu,omhu
udtrykte,udtrykte
klogt,klog
ordentligt,ordentligt
tilstrækkelig,tilstrækkelig
planlægger,planlægge
klog,klog
radikal,radikal
fuldt,fuld
fremhævet,fremhæve
løsning,løsning
ordentlig,ordentlig
risikere,risiker
pludselig,pludselig
ren,ren
satsningen,satsning
sikkerhedspolitisk,sikkerhedspolitisk
knaphed,knaphed
forventer,forvente
gassen,gasse
olien,olie
slippe,slippe
positivt,positiv
indstillede,indstille
myterne,myterne
væk,væk
træls,træls
citater,citate
rygter,rygte
konklusioner,konklusion
tilpasset,tilpass
landbrugets,landbrug
interesser,interesse
derhen,derhe
nået,nå
stykke,stykke
sted,sted
vide,vide
foretager,foretage
specielt,specielt
lægger,lægge
fundamentet,fundamente
energiforsyning,energiforsyning
fremover,fremover
økonomien,økonomi
primære,primære
erhverv,erhverv
særdeleshed,særdeleshed
landbruget,landbrug
løfterigt,løfterig
energiproducent,energiproducent
bæredygtigt,bæredygtigt
radikale,radikal
indstillet,indstille
håber,håbe
konstruktiv,konstruktiv
udvalgsbehandling,udvalgsbehandling
takke,takke
hovedsagen,hovedsag
modtagelse,modtagelse
mærkeligt,mærkeligt
betræder,betræde
fremsætte,fremsætte
undertiden,undertiden
politiske,politisk
argumenterne,argument
oplever,opleve
satse,satse
beskrives,beskrive
entydig,entydig
enkel,enkel
gevinst,gevinst
naturen,natur
miljøet,miljø
optakten,optakt
kunnet,kunne
organisationer,organisation
landbrug,landbrug
anbefaling,anbefaling
handlingsplan,handlingsplan
områder,område
indtager,indtage
seriøs,seriøs
klimamæssige,klimamæssig
fødevareforsyning,fødevareforsyning
kritisere,kritisere
tilgangen,tilgang
formentlig,formentlig
snæver,snæver
fortsatte,fortsætte
opnå,opnå
enighed,enighed
analysearbejde,analysearbejde
videngrundlag,videngrundlag
handle,handle
problematisere,problematisere
træffes,træffe
beslutninger,beslutninge
rigtigt,rigtig
indimellem,indimellem
udvikler,udvikle
ekspertise,ekspertise
baggrunden,baggrund
holdbare,holdbare
undgå,undgå
steder,sted
tilsyneladende,tilsyneladende
forsigtighed,forsigtighed
lytte,lytte
råd,råd
videnskabelige,videnskabelig
vejledning,vejledning
kram,kram
indsats,indsats
udvikles,udvikle
erkendelse,erkendelse
energiafgrøder,energiafgrød
påvirkning,påvirkning
miljø,miljø
besværligt,besværlig
forskydningseffekt,forskydningseffekt
vældig,vældig
fancy,fancy
navn,navn
udmærket,udmærke
beskrivelse,beskrivelse
realanvendelsen,realanvendels
fælder,fælde
skovområder,skovområde
påvirke,påvirke
regnskovsområder,regnskovsområde
dyrker,dyrke
holder,holde
sal,sal
givetvis,givetvis
nærer,nære
begejstring,begejstring
påpeget,påpeg
almindelig,almindelig
anerkendt,anerkende
element,element
inddrages,inddrage
vurderingen,vurdering
oplagt,oplagt
nationale,national
vurderinger,vurderinge
tingene,ting
anne,anne
grete,gret
holmsgaard,holmsgaard
gennemgå,gennemgå
produceret,producere
fornuftig,fornuftig
hensigtsmæssig,hensigtsmæssig
ubekendte,ubekende
naturproblemer,naturproblem
landbrugsproduktionen,landbrugsproduktion
tilfælde,tilfælde
hænge,hænge
flytter,flytte
smukt,smukt
resultat,resultat
løs,løs
skaber,skabe
reduceret,reducere
væsentligt,væsentligt
indtage,indtag
ligegyldigt,ligegyldig
herinde,herinde
ethvert,ethvert
bestemmer,bestemme
frugtbar,frugtbar
indgå,indgå
fedt,fedt
forudsætningen,forudsætning
forsøger,forsøge
efterleve,efterleve
sådanne,sådan
nemt,nemt
hængt,hængt
hykler,hykler
gavner,gavn
næppe,næppe
prestige,prestig
kvalificeret,kvalificere
syn,syn
nedbringer,nedbringe
sammenholder,sammenholde
uhensigtsmæssig,uhensigtsmæssig
vanskelige,vanskelig
svære,svær
vende,vende
fortrængningen,fortrængning
vanskeligheder,vanskelighed
nå,nå
egentlige,egentlig
fremragende,fremragende
udvikling,udvikling
fortrængningskonsekvenserne,fortrængningskonsekvens
nemmere,nem
diskussion,diskussion
prioritere,prioriter
miljømæssige,miljømæssig
naturmæssige,naturmæssig
plads,plads
udfordringen,udfordring
sandsynlighed,sandsynlighed
løsningen,løsning
dyrt,dyr
løfte,løfte
omstilling,omstilling
vigtige,vigtig
konkretiserer,konkretisere
kommende,komme
vilje,vilje
gennemføre,gennemføre
nødvendige,nødvendig
bevæger,bevæge
diskuterede,diskutere
faste,fast
partier,parti
vedtog,vedtage
understreger,understrege
bæredygtigheden,bæredygtighede
dengang,dengang
understreget,understrege
idet,idet
bæredygtighedskriterium,bæredygtighedskriterium
indfasningen,indfasning
perfekte,perfekt
hemmelighed,hemmelighed
forhandlet,forhandle
hold,hold
arbejdede,arbejde
barren,barr
hævet,hæve
bindende,binde
fortrænge,fortræng
minimum,minimum
benzin,benzin
diesel,diesel
tal,tal
stiger,stige
regler,regel
dyrkes,dyrke
rydning,rydning
dræning,dræning
vådområder,vådområde
forsyningssikkerhed,forsyningssikkerhed
opfylde,opfylde
kyotomål,kyotomål
anerkender,anerkende
potentielt,potentiele
bæredygtighedsproblematik,bæredygtighedsproblematik
foreløbige,foreløbig
tegner,tegne
alvorligt,alvorligt
negative,negativ
bæredygtighedseffekter,bæredygtighedseffekt
måned,måned
problemets,problem
omfang,omfang
usikkert,usikker
betydelig,betydelig
variation,variation
resultaterne,resultat
analyser,analyse
fået,få
udarbejdet,udarbejde
tydeligt,tydeligt
forskningsfelt,forskningsfel
foretage,foretage
ændringer,ændringe
påkrævet,påkrævet
vurdering,vurdering
afsluttet,afslutte
senest,senest
juli,juli
vurderer,vurdere
ledsaget,ledsage
brændstofkvalitetsdirektivet,brændstofkvalitetsdirektive
visionen,vision
førstegenerationsbiobrændstoffer,førstegenerationsbiobrændstoffe
betydeligt,betydeligt
afløses,afløse
andengenerationsbiobrændstoffer,andengenerationsbiobrændstoff
virksomheder,virksomhed
markedsledere,markedsleder
følsomme,følsom
bekendt,bekendt
restprodukter,restprodukt
beslag,beslag
landbrugsjord,landbrugsjord
tæller,tælle
dobbelt,dobbele
opfyldelse,opfyldelse
fremmer,fremme
demonstration,demonstration
benytte,benytte
lejligheden,lejlighed
stirre,stirre
blinde,blind
andengeneration,andengeneration
